Date,Time,Close,Expiry
2017-01-02,10:30:00,18067.95,2017-01-25
2017-01-03,10:30:00,18107.0,2017-01-25
2017-01-04,10:30:00,18048.05,2017-01-25
2017-01-05,10:30:00,18079.7,2017-01-25
2017-01-06,10:30:00,18340.0,2017-01-25
2017-01-09,10:30:00,18359.1,2017-01-25
2017-01-10,10:30:00,18361.75,2017-01-25
2017-01-11,10:30:00,18625.9,2017-01-25
2017-01-12,10:30:00,18860.0,2017-01-25
2017-01-13,10:30:00,18830.0,2017-01-25
2017-01-16,10:30:00,19005.2,2017-01-25
2017-01-17,10:30:00,19164.35,2017-01-25
2017-01-18,10:30:00,19290.15,2017-01-25
2017-01-19,10:30:00,19116.25,2017-01-25
2017-01-20,10:30:00,19002.5,2017-01-25
2017-01-23,10:30:00,18866.65,2017-01-25
2017-01-24,10:30:00,18984.1,2017-01-25
2017-01-25,10:30:00,19148.0,2017-01-25
2017-01-27,10:30:00,19765.0,2017-02-23
2017-01-30,10:30:00,19718.9,2017-02-23
2017-01-31,10:30:00,19549.05,2017-02-23
2017-02-01,10:30:00,19627.75,2017-02-23
2017-02-02,10:30:00,20116.5,2017-02-23
2017-02-03,10:30:00,20152.25,2017-02-23
2017-02-06,10:30:00,20490.65,2017-02-23
2017-02-07,10:30:00,20384.85,2017-02-23
2017-02-08,10:30:00,20372.9,2017-02-23
2017-02-09,10:30:00,20200.15,2017-02-23
2017-02-10,10:30:00,20326.15,2017-02-23
2017-02-13,10:30:00,20290.1,2017-02-23
2017-02-14,10:30:00,20293.0,2017-02-23
2017-02-15,10:30:00,20330.95,2017-02-23
2017-02-16,10:30:00,20140.4,2017-02-23
2017-02-17,10:30:00,20584.05,2017-02-23
2017-02-20,10:30:00,20544.95,2017-02-23
2017-02-21,10:30:00,20646.4,2017-02-23
2017-02-22,10:30:00,20878.0,2017-02-23
2017-02-23,10:30:00,20892.85,2017-02-23
2017-02-27,10:30:00,20752.0,2017-03-30
2017-02-28,10:30:00,20719.95,2017-03-30
2017-03-01,10:30:00,20865.85,2017-03-30
2017-03-02,10:30:00,20889.5,2017-03-30
2017-03-03,10:30:00,20528.25,2017-03-30
2017-03-06,10:30:00,20775.0,2017-03-30
2017-03-07,10:30:00,20688.6,2017-03-30
2017-03-08,10:30:00,20757.95,2017-03-30
2017-03-09,10:30:00,20761.95,2017-03-30
2017-03-10,10:30:00,20819.95,2017-03-30
2017-03-14,10:30:00,21183.55,2017-03-30
2017-03-15,10:30:00,21255.9,2017-03-30
2017-03-16,10:30:00,21291.05,2017-03-30
2017-03-17,10:30:00,21231.55,2017-03-30
2017-03-20,10:30:00,21155.05,2017-03-30
2017-03-21,10:30:00,21146.1,2017-03-30
2017-03-22,10:30:00,20921.15,2017-03-30
2017-03-23,10:30:00,20842.0,2017-03-30
2017-03-24,10:30:00,21161.05,2017-03-30
2017-03-27,10:30:00,21086.8,2017-03-30
2017-03-28,10:30:00,21215.0,2017-03-30
2017-03-29,10:30:00,21301.0,2017-03-30
2017-03-30,10:30:00,21472.8,2017-03-30
2017-03-31,10:30:00,21546.6,2017-04-27
2017-04-03,10:30:00,21487.9,2017-04-27
2017-04-05,10:30:00,21584.0,2017-04-27
2017-04-06,10:30:00,21615.7,2017-04-27
2017-04-07,10:30:00,21605.05,2017-04-27
2017-04-10,10:30:00,21453.0,2017-04-27
2017-04-11,10:30:00,21639.05,2017-04-27
2017-04-12,10:30:00,21629.05,2017-04-27
2017-04-13,10:30:00,21765.0,2017-04-27
2017-04-17,10:30:00,21665.0,2017-04-27
2017-04-18,10:30:00,21929.25,2017-04-27
2017-04-19,10:30:00,21619.95,2017-04-27
2017-04-20,10:30:00,21526.7,2017-04-27
2017-04-21,10:30:00,21554.1,2017-04-27
2017-04-24,10:30:00,21668.85,2017-04-27
2017-04-25,10:30:00,21898.0,2017-04-27
2017-04-26,10:30:00,22183.95,2017-04-27
2017-04-27,10:30:00,22204.65,2017-04-27
2017-04-28,10:30:00,22251.55,2017-05-25
2017-05-02,10:30:00,22443.0,2017-05-25
2017-05-03,10:30:00,22340.0,2017-05-25
2017-05-04,10:30:00,22554.95,2017-05-25
2017-05-05,10:30:00,22742.85,2017-05-25
2017-05-08,10:30:00,22768.0,2017-05-25
2017-05-09,10:30:00,22736.1,2017-05-25
2017-05-10,10:30:00,22843.5,2017-05-25
2017-05-11,10:30:00,22918.95,2017-05-25
2017-05-12,10:30:00,22777.0,2017-05-25
2017-05-15,10:30:00,22833.3,2017-05-25
2017-05-16,10:30:00,22789.4,2017-05-25
2017-05-17,10:30:00,22924.05,2017-05-25
2017-05-18,10:30:00,22755.0,2017-05-25
2017-05-19,10:30:00,22880.7,2017-05-25
2017-05-22,10:30:00,22786.65,2017-05-25
2017-05-23,10:30:00,22549.3,2017-05-25
2017-05-24,10:30:00,22605.55,2017-05-25
2017-05-25,10:30:00,22695.0,2017-05-25
2017-05-26,10:30:00,23114.2,2017-06-29
2017-05-29,10:30:00,23160.0,2017-06-29
2017-05-30,10:30:00,23196.65,2017-06-29
2017-05-31,10:30:00,23243.95,2017-06-29
2017-06-01,10:30:00,23295.05,2017-06-29
2017-06-02,10:30:00,23318.8,2017-06-29
2017-06-05,10:30:00,23381.05,2017-06-29
2017-06-06,10:30:00,23419.9,2017-06-29
2017-06-07,10:30:00,23490.0,2017-06-29
2017-06-08,10:30:00,23599.75,2017-06-29
2017-06-09,10:30:00,23515.1,2017-06-29
2017-06-12,10:30:00,23540.0,2017-06-29
2017-06-13,10:30:00,23521.0,2017-06-29
2017-06-14,10:30:00,23399.45,2017-06-29
2017-06-15,10:30:00,23414.95,2017-06-29
2017-06-16,10:30:00,23448.95,2017-06-29
2017-06-19,10:30:00,23541.05,2017-06-29
2017-06-20,10:30:00,23722.5,2017-06-29
2017-06-21,10:30:00,23656.85,2017-06-29
2017-06-22,10:30:00,23797.0,2017-06-29
2017-06-23,10:30:00,23615.5,2017-06-29
2017-06-27,10:30:00,23369.35,2017-06-29
2017-06-28,10:30:00,23208.0,2017-06-29
2017-06-29,10:30:00,23385.45,2017-06-29
2017-06-30,10:30:00,23107.0,2017-07-27
2017-07-03,10:30:00,23250.0,2017-07-27
2017-07-04,10:30:00,23292.0,2017-07-27
2017-07-05,10:30:00,23329.0,2017-07-27
2017-07-06,10:30:00,23495.0,2017-07-27
2017-07-07,10:30:00,23446.05,2017-07-27
2017-07-11,10:30:00,23697.0,2017-07-27
2017-07-12,10:30:00,23577.8,2017-07-27
2017-07-13,10:30:00,23904.0,2017-07-27
2017-07-14,10:30:00,23826.15,2017-07-27
2017-07-17,10:30:00,23976.45,2017-07-27
2017-07-18,10:30:00,24107.8,2017-07-27
2017-07-19,10:30:00,24142.55,2017-07-27
2017-07-20,10:30:00,24242.45,2017-07-27
2017-07-21,10:30:00,24234.95,2017-07-27
2017-07-24,10:30:00,24374.0,2017-07-27
2017-07-25,10:30:00,24481.0,2017-07-27
2017-07-26,10:30:00,24548.45,2017-07-27
2017-07-27,10:30:00,24880.35,2017-07-27
2017-07-28,10:30:00,24943.35,2017-08-31
2017-07-31,10:30:00,24983.0,2017-08-31
2017-08-01,10:30:00,25185.1,2017-08-31
2017-08-02,10:30:00,25212.0,2017-08-31
2017-08-03,10:30:00,24877.0,2017-08-31
2017-08-04,10:30:00,24780.0,2017-08-31
2017-08-07,10:30:00,25022.1,2017-08-31
2017-08-08,10:30:00,24706.95,2017-08-31
2017-08-09,10:30:00,24571.25,2017-08-31
2017-08-10,10:30:00,24315.8,2017-08-31
2017-08-11,10:30:00,24154.0,2017-08-31
2017-08-14,10:30:00,24235.2,2017-08-31
2017-08-16,10:30:00,24024.2,2017-08-31
2017-08-17,10:30:00,24422.1,2017-08-31
2017-08-18,10:30:00,24047.2,2017-08-31
2017-08-21,10:30:00,24193.5,2017-08-31
2017-08-22,10:30:00,23926.05,2017-08-31
2017-08-23,10:30:00,24176.1,2017-08-31
2017-08-24,10:30:00,24280.0,2017-08-31
2017-08-28,10:30:00,24410.6,2017-08-31
2017-08-29,10:30:00,24200.4,2017-08-31
2017-08-30,10:30:00,24302.55,2017-08-31
2017-08-31,10:30:00,24238.0,2017-08-31
2017-09-01,10:30:00,24468.5,2017-09-28
2017-09-04,10:30:00,24379.0,2017-09-28
2017-09-05,10:30:00,24408.25,2017-09-28
2017-09-06,10:30:00,24232.0,2017-09-28
2017-09-07,10:30:00,24422.0,2017-09-28
2017-09-08,10:30:00,24383.9,2017-09-28
2017-09-11,10:30:00,24489.4,2017-09-28
2017-09-12,10:30:00,24755.4,2017-09-28
2017-09-13,10:30:00,24855.05,2017-09-28
2017-09-14,10:30:00,24947.7,2017-09-28
2017-09-15,10:30:00,24857.2,2017-09-28
2017-09-18,10:30:00,25053.0,2017-09-28
2017-09-19,10:30:00,25015.45,2017-09-28
2017-09-20,10:30:00,25043.0,2017-09-28
2017-09-21,10:30:00,24825.85,2017-09-28
2017-09-22,10:30:00,24542.35,2017-09-28
2017-09-25,10:30:00,24134.4,2017-09-28
2017-09-26,10:30:00,24138.95,2017-09-28
2017-09-27,10:30:00,24072.9,2017-09-28
2017-09-28,10:30:00,23868.6,2017-09-28
2017-09-29,10:30:00,24202.05,2017-10-26
2017-10-03,10:30:00,24081.95,2017-10-26
2017-10-04,10:30:00,24163.05,2017-10-26
2017-10-05,10:30:00,24176.55,2017-10-26
2017-10-06,10:30:00,24245.0,2017-10-26
2017-10-09,10:30:00,24322.5,2017-10-26
2017-10-10,10:30:00,24332.0,2017-10-26
2017-10-11,10:30:00,24462.85,2017-10-26
2017-10-12,10:30:00,24120.0,2017-10-26
2017-10-13,10:30:00,24552.0,2017-10-26
2017-10-16,10:30:00,24759.6,2017-10-26
2017-10-17,10:30:00,24735.1,2017-10-26
2017-10-18,10:30:00,24375.0,2017-10-26
2017-10-23,10:30:00,24049.95,2017-10-26
2017-10-24,10:30:00,24252.0,2017-10-26
2017-10-25,10:30:00,24662.95,2017-10-26
2017-10-26,10:30:00,24926.25,2017-10-26
2017-10-27,10:30:00,25012.1,2017-11-30
2017-10-30,10:30:00,25060.3,2017-11-30
2017-10-31,10:30:00,25036.95,2017-11-30
2017-11-01,10:30:00,25465.2,2017-11-30
2017-11-02,10:30:00,25541.05,2017-11-30
2017-11-03,10:30:00,25480.45,2017-11-30
2017-11-06,10:30:00,25607.0,2017-11-30
2017-11-07,10:30:00,25497.1,2017-11-30
2017-11-08,10:30:00,25364.95,2017-11-30
2017-11-09,10:30:00,25410.0,2017-11-30
2017-11-10,10:30:00,25401.45,2017-11-30
2017-11-13,10:30:00,25546.2,2017-11-30
2017-11-14,10:30:00,25412.1,2017-11-30
2017-11-15,10:30:00,25374.9,2017-11-30
2017-11-16,10:30:00,25410.1,2017-11-30
2017-11-17,10:30:00,25920.0,2017-11-30
2017-11-20,10:30:00,25787.7,2017-11-30
2017-11-21,10:30:00,25901.0,2017-11-30
2017-11-22,10:30:00,25739.1,2017-11-30
2017-11-23,10:30:00,25775.7,2017-11-30
2017-11-24,10:30:00,25845.0,2017-11-30
2017-11-27,10:30:00,25766.05,2017-11-30
2017-11-28,10:30:00,25959.3,2017-11-30
2017-11-29,10:30:00,25839.9,2017-11-30
2017-11-30,10:30:00,25561.15,2017-11-30
2017-12-01,10:30:00,25470.0,2017-12-28
2017-12-04,10:30:00,25259.05,2017-12-28
2017-12-05,10:30:00,25097.0,2017-12-28
2017-12-06,10:30:00,25121.1,2017-12-28
2017-12-07,10:30:00,25038.15,2017-12-28
2017-12-08,10:30:00,25320.0,2017-12-28
2017-12-11,10:30:00,25451.0,2017-12-28
2017-12-12,10:30:00,25220.2,2017-12-28
2017-12-13,10:30:00,25097.95,2017-12-28
2017-12-14,10:30:00,25048.0,2017-12-28
2017-12-15,10:30:00,25493.0,2017-12-28
2017-12-18,10:30:00,25647.45,2017-12-28
2017-12-19,10:30:00,25645.25,2017-12-28
2017-12-20,10:30:00,25675.3,2017-12-28
2017-12-21,10:30:00,25573.85,2017-12-28
2017-12-22,10:30:00,25640.05,2017-12-28
2017-12-26,10:30:00,25611.0,2017-12-28
2017-12-27,10:30:00,25710.05,2017-12-28
2017-12-28,10:30:00,25471.7,2017-12-28
2017-12-29,10:30:00,25573.0,2018-01-25
